listing_name,categories,seniority,required_skills
machine learning engineer,python,senior,"['teamwork', 'python programming', 'machine learning', 'databases', 'natural language processing', 'cloud platform services (preferably gcp)', 'rest api', 'deep learning  (pytorch or tensorflow)', 'container-based system', 'data science in python']"
senior software engineer (remote),python,senior,"['tdd', 'python', 'devops', 'cloud']"
senior data scientist,data,senior,"['machine learning', 'python', 'nlp', 'sql', 'azure', 'power bi', 'r', 'selenium', 'javascript']"
junior bi developer,data,junior,"['power bi', 'tableau', 'sql', 'python', 'microsoft azure']"
data engineer,data,mid,"['python', 'aws', 'sql', 'git', 'apache kafka', 'hadoop', 'javascript']"
automation tester,testing,mid,"['cucumber', 'node.js', 'python', 'openapi', 'bom/dom', 'ci/cd', 'linux', 'cloud', 'sql', 'nosql']"
python / sql oracle developer,python,mid,"['python', 'sql']"
devops engineer,devops,senior,"['kubernetes', 'docker', 'python', 'shell', 'aws', 'azure', 'google cloud platform', 'ci/cd', 'terraform', 'go']"
data science lead,data,senior,"['sql', 'python', 'analytical thinking', 'data science', 'project management', 'zarzdzanie zespoem', 'modelowanie statystyczne', 'r', 'aws', 'google cloud']"
data scientist,data,mid,"['teamwork', 'data science in python', 'pragmatic problem solver', 'analytical mindset and attention to details', 'python', 'sql', 'cloud platform services (preferably gcp)']"
devsecops lead,devops,senior,"['devops', 'devops tools', 'security', 'ci/cd', 'microservices', 'scripting', 'powershell', 'bash', 'python', 'docker']"
machine learning engineer,python,mid,"['python', 'pytorch', 'tensorflow', 'machine learning', 'deep learning', 'cloud computing', 'computer vision', 'algorithms']"
devops engineer,devops,mid,"['puppet', 'linux', 'unix', 'powershell', 'python', 'perl', 'ruby']"
big data analyst,data,mid,"['sql', 'python', 'aws', 'data studio', 'quicksight', 'jenkins', 'big query']"
devops engineer,devops,senior,"['python', 'aws', 'terraform', 'cognito', 'aurora', 'elasticsearch', 'postgresql', 'docker / kubernetes', 'ci / cd']"
automation tester (python),testing,mid,"['python', 'robot framework', 'git', 'tdd', 'continuous integration']"
senior software engineer (python),python,senior,"['python', 'redis', 'aws', 'mysql']"
etl developer / data engineer,python,senior,"['python', 'etl / elt', 'data warehouse', 'azure data factory', 'databricks', 'spark', 'kafka', 'sql', 'synapse', 'powerbi']"
data scientist lead,python,senior,"['python', 'sql']"
data scientist lead,data,senior,"['python', 'sql']"
senior python developer,python,senior,"['python', 'django', 'oop']"
data scientist,data,mid,"['sql', 'r/python', 'power bi', 'aws']"
software engineer (aviation industry),python,senior,"['python', 'c++', 'django', 'tdd', 'redis', 'docker', 'continuous integration', 'gitlab', 'databases', 'reactjs']"
