listing_name,categories,seniority,required_skills
 Junior Python Developer ,"[' Fullstack ', ' Python ']", Junior ,"[' Python ', ' HTML ', ' SQL ', ' JavaScript ', ' CSS ', ' Azure ', ' DevOps ', ' Odoo ', ' Problem solving ', ' Proactivity ']"
 Data Engineer ,[' Inne '], Senior ,"[' Python ', ' AWS Cloud ']"
 Data Engineer ,"[' Big Data ', ' Spark ']"," Mid, Senior ","[' Data engineering ', ' Spark ', ' SQL ', ' Python ', ' Big Data ', ' dbt ', ' AWS Cloud ', ' ETL ', ' Java ', ' Athena ', ' Machine Learning ']"
 Remote Mid / Senior Security Engineer ,[' Security ']," Mid, Senior ","[' Security ', ' SOAR ', ' SIEM ', ' PAM ', ' CASB ', ' EDR ', ' Linux ', ' Windows ', ' Unix ', ' TCP/IP ', ' PowerShell ', ' Python ', ' AWS ', ' Azure ', ' GCP ', ' CISSP ', ' CISM ']"
 Mid Python & React Fullstack (REMOTE) ,"[' Fullstack ', ' React ']", Mid ,"[' React ', ' Python ', ' TypeScript ', ' Django ', ' DevOps ']"
 Medior DevOps Engineer ,"[' DevOps ', ' AWS ']", Mid ,"[' DevOps ', ' CI/CD Pipelines ', ' Cloud computing ', ' AWS ', ' Git ', ' Python ', ' Bash script ', ' IaC ', ' Jira ', ' Terraform ', ' Kubernetes ', ' Docker ']"
 QA Automation Engineer ,"[' Testing ', ' JavaScript ']", Senior ,"[' JavaScript ', ' Java ', ' Python ', ' Kotlin ', ' Cypress ', ' Selenium ', ' Microservices ', ' HTTP ', ' REST API ', ' CDN ', ' CI/CD ']"
 Mid / Senior Data Engineer with SQL ,"[' Big Data ', ' SQL ']"," Mid, Senior ","[' SQL ', ' Spark ', ' ETL ', ' Data engineering ', ' Python ', ' Kafka ', ' Airflow ', ' DevOps ', ' Snowflake ', ' AWS ', ' Azure ', ' Azure Data Lake ', ' Azure Data Factory ', ' AWS Redshift ', ' Databricks ', ' GCP ', ' Google cloud platform ', ' BigQuery ']"
 Embedded Software Tester ,"[' Testing ', ' C++ ']", Mid ,"[' C++ ', ' C ', ' Cucumber ', ' Appium ', ' Selenium ', ' Xamarin ', ' Python ', ' Java ', ' Telco ']"
 Automation Tester ,"[' Testing ', ' SQL ']", Senior ,"[' Java EE ', ' Selenium ', ' Python ', ' JavaScript ', ' SQL ', ' Jira ']"
 Remote Embedded Software Engineer C/C++ ,"[' Embedded ', ' FPGA ']"," Mid, Senior ","[' FPGA ', ' C ', ' C++ ', ' ARM ', ' SES ', ' Linux ', ' Python ', ' Git ', ' Bluetooth ', ' MSC ', ' ZigBee ', ' Bluethooth ', ' Low Energy ', ' Thread ', ' Matter ', ' Ultra Wide Band ']"
 Python Developer / ML Engineer ,"[' AI ', ' Python ']", Mid ,"[' Python ', ' Databricks ', ' PySpark ', ' Spark ', ' Machine learning ', ' SQL ', ' Azure ']"
 Senior Full-stack Developer ,"[' Fullstack ', ' Python ']", Senior ,"[' Python ', ' ES6 ', ' JavaScript ', ' Relational database ', ' SQL ', ' MongoDB ', ' Django ', ' Ansible ', ' AWS ', ' Agile ', ' React ', ' Redux ', ' Scrum ']"
 Senior DevOps Engineer (ID: 316) ,"[' DevOps ', ' Python ']", Senior ,"[' Python ', ' Jenkins ', ' Conan.io ', ' CMake ', ' Windows ', ' Linux ', ' AWS Cloud ']"
 Mid/Senior DevOps Engineer ,"[' DevOps ', ' AWS ']"," Mid, Senior ","[' Java ', ' Python ', ' JavaScript ', ' TypeScript ', ' Kubernetes ', ' TLS ', ' Grafana ', ' Prometheus ', ' CloudWatch ', ' Jenkins ', ' IaaC ', ' CloudFormation ', ' AWS ', ' AWS ', ' AWS CDK ', ' Go ']"
 DevOps Engineer ,"[' DevOps ', ' Python ']"," Mid, Senior ","[' Docker ', ' Ansible ', ' Linux ', ' Terraform ', ' Git ', ' Shell ', ' Puppet ', ' Python ', ' Groovy ', ' Jenkins ', ' CI/CD ', ' Perforce ', ' Virtualization ', ' VMware ', ' Windows ', ' macOS ', ' AWS ', ' Kubernetes ', ' Kafka ', ' AWS EC2 ']"
 Java Software Developer ,"[' Backend ', ' Java ']", Mid ,"[' Java ', ' SQL ', ' Linux ', ' OOP ', ' Git ', ' Jenkins ', ' Bash ', ' Perl ', ' Python ', ' Spock ', ' sbt ', ' Eclipse ', ' Vaadin ']"
 R&D Test Automation Python Developer ,"[' Testing ', ' Python ']", Mid ,"[' Python ', ' pytest ', ' TCP ', ' IP ', ' VLAN ', ' Jenkins ', ' Linux ', ' Bash ']"
 Senior/Lead Data Scientist ,"[' AI ', ' Python ']"," Senior, Expert ","[' Machine learning ', ' Python ', ' SQL ', ' NLP ', ' Computer vision ', ' Cloud ', ' TensorFlow ', ' Spark ', ' Kubernetes ', ' AWS ', ' pandas ', ' scikit-learn ', ' ETL ', ' Keras ', ' PyTorch ']"
 Mid QA Test Engineer ,"[' Testing ', ' Java ']", Mid ,"[' Java ', ' BDD ', ' TDD ', ' Cucumber ', ' Appium ', ' REST API ', ' Spring Boot ', ' JavaScript ', ' Python ']"
 DevOps Engineer ,[' DevOps '], Mid ,"[' Linux ', ' Docker ', ' Kubernetes ', ' Git ', ' Google Cloud Platform ', ' Python ', ' CI/CD ']"
 Data Engineer ,"[' Big Data ', ' Python ']", Mid ,"[' Python ', ' SQL ', ' Spark ', ' Hive ', ' Big data ']"
 Senior GCP DevOps ,"[' DevOps ', ' GCP ']", Senior ,"[' Terraform ', ' GCP ', ' CI/CD Pipelines ', ' Bitbucket ', ' Kubernetes ', ' YAML ', ' Python ']"
 Senior SW Developer (BBE) ,"[' Backend ', ' Java ']"," Mid, Senior ","[' Java ', ' Linux ', ' EJB ', ' J2EE ', ' C ', ' JavaScript ', ' jQuery ', ' JSP ', ' Bash ', ' Shell ', ' Python ', ' Tomcat ', ' SQL ', ' WildFly ', ' PostgreSQL ', ' Hibernate ', ' Kafka ', ' Elasticsearch ', ' Jenkins ', ' Git ', ' Gerrit ', ' Jira ', ' Confluence ']"
 Senior Fullstack .Net Developer ,"[' Fullstack ', ' .NET ']", Senior ,"[' .NET ', ' C# ', ' Python ', ' JavaScript ', ' TypeScript ', ' C++ ', ' Testing ', ' AWS ', ' Gherkin ', ' Cucumber ', ' iOS ']"
 Site Reliability Engineer(Python or C++) ,"[' Backend ', ' Python ']"," Mid, Senior ","[' Python ', ' AWS ', ' Linux ', ' K8s ', ' Git ', ' Ansible ', ' Terraform ', ' C++ ', ' Kafka ', ' Oracle  ', ' SQL Server ', ' TCP/IP ']"
 AI Developer with ROS ,"[' AI ', ' Python ']"," Mid, Senior ","[' ROS ', ' Robot Framework ', ' Machine learning ', ' Python ', ' Python ']"
 AWS Python Developer ,"[' Backend ', ' Python ']", Senior ,"[' Python ', ' AWS Lambda ', ' CloudWatch ', ' API Gateway ', ' IAM ', ' AWS S3 ', ' RDBMS ', ' MySQL ', ' AWS DynamoDB ', ' SQS ', ' Amazon SQS ', ' SNS ', ' CloudFormation ', ' CloudFront ', ' Elasticsearch ', ' AWS Media Services ']"
 Senior Big Data Developer ,"[' Big Data ', ' Hadoop ']", Senior ,"[' HDFS ', ' YARN ', ' Databricks ', ' Amazon Web Services ', ' Oozie ', ' Spark ', ' Hadoop ', ' Azure ', ' AWS ', ' Google Cloud Platform ', ' Cloudera (or any other) HADOOP distribution ', ' Java or Scala or Python ', ' Java ', ' Python ', ' Kafka ', ' Problem solving ', ' Communication skills ', ' Team player ', ' Critical thinking ', ' Scala ', ' Yarn ', ' Airflow ', ' Cloudera ', ' Spark Streaming ', ' Snowflake ', ' ELK Stack ', ' Docker/Kubernetes ', ' Cassandra/MongoDB ', ' Kafka Streaming/Kafka Connect ', ' JIRA ', ' CI/CD ', ' JENKINS ', ' Docker ', ' Kubernetes ', ' Cassandra ', ' MongoDB ', ' Jenkins ', ' GitLab ', ' Jira ', ' Confluence ']"
 Tester Systemowy (sta¿/praca) ,"[' Embedded ', ' Python ']"," Trainee, Junior ","[' Python ', ' Multimetr ', ' Oscyloskop ', ' PLC ', ' CAN ', ' PROFINET ', ' PROFIBUS ', ' ETHERCAT ', ' ETHERNET/IP ']"
 QA Automation Engineer - Remote ,"[' Testing ', ' Python ']", Mid ,"[' Jira ', ' Confluence ', ' TestRail ', ' Python ', ' pytest ', ' Proxy ', ' ISTQB ', ' Appium ']"
 Mid Senior System Security Administrator ,"[' Security ', ' Python ']", Mid ,[' Python ']
 Senior Software Developer ,"[' Mobile ', ' iOS ']", Mid ,"[' iOS ', ' Python ', ' JavaScript ', ' CSS ', ' HTML ', ' JQuery ', ' Dagger ', ' Perl ']"
 Azure Data Engineer  ,[' Business Intelligence ']," Mid, Senior ","[' SQL ', ' ETL ', ' Azure ', ' Azure Data Factory ', ' Python ', ' Spark ', ' Data engineering ', ' DWH ', ' Azure DataLake ', ' Azure Databricks ', ' Agile ', ' Communication Skills ', ' Team player  ', ' Proactivity ', ' Problem solving ', ' Hadoop ', ' Azure Synapse ', ' PySpark ']"
 Python Developer ,"[' Backend ', ' Python ']", Mid ,"[' Python ', ' Django ', ' Flask ']"
 Mid Software Developer in Test  ,"[' Testing ', ' Python ']", Mid ,"[' Python ', ' Gherkin ', ' OOP ', ' Design Patterns ', ' Selenium ', ' Unit testing ', ' TDD ']"
 Senior DevOps Engineer  ,"[' DevOps ', ' Python ']", Senior ,"[' Python ', ' Terraform ', ' AWS ', ' Kubernetes ', ' Serverless ', ' Cloud ', ' Microservices architecture ', ' Infrastructure as Code ']"
 Python Team Lead (Tagging Tools Lead) ,"[' Backend ', ' Python ']", Expert ,"[' Python ', ' Django ', ' SQL ', ' NoSQL ', ' Design Patterns ', ' Machine Learning ', ' ML Ops concepts ']"
 DevOps Engineer ,"[' DevOps ', ' Python ']"," Mid, Senior ","[' Shell ', ' Python ', ' Azure ', ' Cloud ', ' Azure Cloud ', ' Azure DevOps ', ' CI/CD ', ' Docker ', ' Kubernetes ', ' Terraform ', ' Helm ', ' IaaS ', ' PaaS ', ' DevOps ', ' Git ', ' Jira ']"
 Python Software Engineer in Test ,"[' Testing ', ' Python ']"," Mid, Senior ","[' Python ', ' pytest ', ' Jenkins ', ' Communication skills ']"
 Senior Mobile QA Automation Engineer ,"[' Testing ', ' Java ']", Senior ,"[' Java ', ' Python ', ' JavaScript ', ' Swift ', ' Kotlin ', ' Appium ', ' Bitrise ', ' Jenkins ', ' UI ']"
 Remote Mid Data Engineer ,"[' Big Data ', ' Python ']", Mid ,"[' Python ', ' SQL ', ' NoSQL ', ' Scala ', ' Machine Learning ', ' Azure ']"
 Senior Software Development Engineer  ,"[' Backend ', ' Python ']", Senior ,"[' Python ', ' Golang ']"
 Remote Python Backend Developer ,"[' Backend ', ' Python ']", Mid ,"[' Python ', ' SQL ', ' Linux ', ' Docker ', ' Celery ', ' RabbitMQ ', ' Kanban ', ' PostgreSQL ', ' Redis ', ' Flask ', ' Django ', ' OOP ', ' Git ']"
 Remote Azure DevOps Engineer ,"[' DevOps ', ' Azure ']"," Mid, Senior ","[' Azure ', ' Azure DevOps ', ' Ansible ', ' Python/bash/Powershell ', ' GitHub ', ' Python ', ' PowerShell ', ' Bash ', ' ARM ', ' DevOps ', ' Jenkins ', ' GitHub Actions ', ' Git ', ' Kubernetes ', ' Docker ', ' Terraform ', ' C# ', ' npm ']"
 ELT Dveloper / Data Engineer ,"[' Big Data ', ' Python ']", Senior ,"[' Python ', ' NoSQL ', ' Azure ', ' FTP ', ' ETL ', ' SQL ', ' Spark ', ' Kafka ', ' PowerBI ', ' Azure Data Factory ', ' ELT ', ' DataBriks ']"
 Cloud Engineer ,"[' DevOps ', ' Python ']", Senior ,"[' Docker ', ' Amazon AWS services ', ' Git ', ' Terraform ', ' Python ', ' Azure ', ' Ansible ', ' GitHub ', ' DevOps ', ' AWS ', ' GCP ', ' Shell ', ' Bash ', ' IaC ', ' CloudFormation ', ' GitLab ', ' Kubernetes ', ' Rancher ', ' Amazon EKS ', ' CI/CD ', ' BitBucket ', ' Scrum ', ' Contact with a client ', ' Communication skills ', ' Team Player ']"
 Remote QA Automation Engineer (Python) ,"[' Testing ', ' Python ']"," Mid, Senior ","[' SQL ', ' Selenium ', ' Automation ', ' Cucumber ', ' Python ', ' AWS ', ' Jenkins ', ' Terraform ', ' Java ', ' C# ']"
 Machine Learning Operations Engineer ,[' AI '], Mid ,"[' Python ', ' AWS ', ' Azure ', ' GCP ', ' Compute-at-scale technologies ']"
 Lead Cloud Devops Engineer ,"[' DevOps ', ' Azure ']"," Mid, Senior ","[' Git ', ' Azure ', ' Azure DevOps ', ' CI/CD ', ' PowerShell ', ' Python ', ' SQL Server ', ' Web API ', ' Bash ', ' CSS ', ' HTML ', ' C# ']"
 Senior Python Engineer at Orca Security ,[' Backend '], Senior ,"[' AWS ', ' Azure ', ' GCP ', ' Python ', ' Microservices architecture ', ' Elasticsearch ', ' Spark ', ' Map Reduce ']"
 Data Analyst ,[' Business Intelligence ']," Mid, Senior ","[' Python ', ' SQL ', ' NumPy ', ' pandas ', ' PowerBI ', ' R ', ' SAS ']"
 AWS/Azure Cloud Architect ,"[' DevOps ', ' AWS ']"," Mid, Senior ","[' Linux ', ' Python ', ' Terraform ', ' AWS ', ' Azure ', ' Docker ', ' Puppet ', ' Kubernetes ', ' Virtualization ', ' Project management ', ' Microservices ', ' .NET ']"
 Senior QA Automation Engineer ,"[' Testing ', ' Python ']", Senior ,"[' Python ', ' Microservices ', ' QA ', ' pytest ', ' Kubernetes ']"
